gene_name,batch_id,score
A1BG,YBC-1005,2
A1BG,YBC-1006,2
A1BG,YBC-1032,1
A1BG,YBC-1033,2
A1BG,YBC-1034,2
A1BG-AS1,YBC-1005,2
A1BG-AS1,YBC-1006,2
A1BG-AS1,YBC-1032,1
A1BG-AS1,YBC-1033,2
A1BG-AS1,YBC-1034,2
A1CF,YBC-1005,1
A1CF,YBC-1006,2
A1CF,YBC-1032,2
A1CF,YBC-1033,2
A1CF,YBC-1034,2
A2M,YBC-1005,3
A2M,YBC-1006,2
A2M,YBC-1032,2
A2M,YBC-1033,2
A2M,YBC-1034,2
A2M-AS1,YBC-1005,0
A2M-AS1,YBC-1006,0
A2M-AS1,YBC-1032,0
A2M-AS1,YBC-1033,2
A2M-AS1,YBC-1034,2
A2ML1,YBC-1005,3
A2ML1,YBC-1006,2
A2ML1,YBC-1032,1
A2ML1,YBC-1033,2
A2ML1,YBC-1034,2
A3GALT2,YBC-1005,1
A3GALT2,YBC-1006,1
A3GALT2,YBC-1032,2
A3GALT2,YBC-1033,2
A3GALT2,YBC-1034,2
A4GALT,YBC-1005,1
A4GALT,YBC-1006,3
A4GALT,YBC-1032,2
A4GALT,YBC-1033,2
A4GALT,YBC-1034,2
A4GNT,YBC-1005,2
A4GNT,YBC-1006,2
A4GNT,YBC-1032,2
A4GNT,YBC-1033,2
A4GNT,YBC-1034,2
AAAS,YBC-1005,2
AAAS,YBC-1006,2
AAAS,YBC-1032,2
AAAS,YBC-1033,2
AAAS,YBC-1034,2
